PrintedFor	PrintedBy	Ignored	Original	count
printed by Tho. Collier	NA	NA	printed by Tho. Collier	1
Printed by Alexander Martin, for the Proprietors	NA	NA	Printed by Alexander Martin, for the Proprietors	1
Printed (every Wednesday & Saturday) by John Crocker & Co. near the hotel	NA	NA	Printed (every Wednesday & Saturday) by John Crocker & Co. near the hotel	1
Printed for E. and T. Williams, Strand	NA	NA	Printed for E. and T. Williams, Strand	1
printed by James H. Stewart; where advertisements, essays, articles of intelligence, &c. will be thankfully received, ...	NA	NA	printed by James H. Stewart; where advertisements, essays, articles of intelligence, &c. will be thankfully received, ..	1
published by Beach and Jones, near the bridge	NA	NA	printed by Beach and Jones, near the bridge	1
printed (every Friday) by T[homas]. Wilson, at the corner of 4 1/2 & T. streets, Greenleaf-Point	NA	NA	printed (every Friday) by Thomas. Wilson, at the corner of 4 1/2 & T. streets, Greenleaf-Point	1
Printed by J. & J.N. Russell	NA	NA	Printed by J. & J.N. Russell	1
printed by [W.P.] Young & D[aniel]. Faust, printers to the state	NA	NA	printed by W.P. Young & Daniel. Faust, printed to the state	1
published for the Editor by Thomas Bradford, no. 8, south Front-street, ...;a PHiladelphie :;imprimé pour le rédacteur, par Thomas Bradford, prémiere rue sud no. 8; ...	NA	NA	printed for the Editor by Thomas Bradford, no. 8, south Front-street, ...;a PHiladelphie :;printed inmeime pour le rédacteur, par Thomas Bradford, prémiere rue sud no. 8; ..	1
Printed by John Dunlap and David C. Claypoole	NA	NA	Printed by John Dunlap and David C. Claypoole	1
Printed and published (on Thursday mornings) by Elijah Russell, at his office a few rods south of the Court House, in concord, Newhampshire [sic]	NA	NA	Printed and printed (on Thursday mornings) by Elijah Russell, at his office a few rods south of the Court House, in concord, Newhampshire sic	1
printed by Philip Edwards	NA	NA	printed by Philip Edwards	1
Printed and published by John Trumbull, near the Meeting-House	NA	John Trumbull	NA	1
Printed by George Roulstone & Co. at their office in Court Street	NA	NA	Printed by George Roulstone & Co. at their office in Court Street	1
Published every Friday, by Lucius Cary, Geneva, county of Ontario, state of New-York	NA	NA	printed every Friday, by Lucius Cary, Geneva, county of Ontario, state of New-York	1
Printed at Concord (Newhampshire)by Geo. Hough	NA	NA	printed in Concord (Newhampshire)by Geo. Hough	1
printed and published by Richard Bowen, opposite the Episcopal Church, Loudown street	NA	Richard Bowen	NA	1
Printed by Richard Bowen	NA	NA	Printed by Richard Bowen	1
Melchior Steiner	NA	NA	Melchior Steiner	1
Printed for the Proprietors by W[illiam]. Young, bookseller, no. 52 Second Street	NA	NA	Printed for the Proprietors by William. Young, bookseller, no. 52 Second Street	1
de l'imprimerie de Samuel Hall, libraire, dans le Cornhill, no. 53, où l'on peut se procurer chaque numéro	NA	NA	de printed inmeimerie de Samuel Hall, libraire, dans le Cornhill, no. 53, où l'on peut se procurer chaque numéro	1
Printed for Seddon, Spotswood, Cist, & and Trenchard	NA	NA	Printed for Seddon, Spotswood, Cist, & and Trenchard	1
Printed for T[omas]. Seddon, W[illiam]. Spotswood, C[harles]. Cist, & J[ames]. Trenchard	NA	NA	Printed for Tomas. Seddon, William. Spotswood, Charles. Cist, & James. Trenchard	1
Printed by Collier & Copp	NA	NA	Printed by Collier & Copp	1
printed and published by E. Russell, at his office in Essex-Street, or Liberty-Square	NA	E Russell	NA	1
Daniel Humphreys	NA	NA	Daniel Humphreys	1
Printed by Collier & Copp, in the south-end of the Court-House	NA	NA	Printed by Collier & Copp, in the south-end of the Court-House	1
printed for J[ohn]. Miller, printer to the state, Church-street	NA	NA	printed for John. Miller, printed to the state, Church-street	1
printed by Shepard Kollock	NA	NA	printed by Shepard Kollock	1
printed for J[ohn]. Miller, printer to the state, in Church street, near Broad-street	NA	NA	printed for John. Miller, printed to the state, in Church street, near Broad-street	1
published by James Rivington, printer to the King's most excellent Majesty	NA	NA	printed by James Rivington, printed to the King's most printedllent Majesty	1
printed by Story and Humphreys, in Norris's Alley, near Front-street ...	NA	NA	printed by Story and Humphreys, in Norris's Alley, near Front-street ..	1
printed by John Dunlap, at his printing-office in Market-Street	NA	NA	printed by John Dunlap, at his printing-office in Market-Street	1
printed and sold by R. Aitken, printer and bookseller, opposite the London coffee-house, Front-street	NA	NA	printed by R. Aitken, printed and bookseller, opposite the London coffee-house, Front-street	1
Printed for J. Almon	NA	NA	Printed for J. Almon	1
Thomas Green]	NA	NA	Thomas Green	1
printed and sold by James Parker. Sold also at the new printing-office in Beaver-Street New-York, and by Thomas Coombs, in Front-Street, Philadelphia	NA	NA	printed by James Parker. Sold also at the new printing-office in Beaver-Street New-York, and by Thomas Coombs, in Front-Street, Philadelphia	1
printed and sold by J. Bush	NA	NA	printed by J. Bush	1
printed by T. Knowles in Essex-street	NA	NA	printed by T. Knowles in Essex-street	1
printed by T. Knowles	NA	NA	printed by T. Knowles	1
printed by W. Osborn	NA	NA	printed by W. Osborn	1
printed for John Wotherspoon	NA	NA	printed for John Wotherspoon	1
printed for Robert Hog	NA	NA	printed for Robert Hog	1
printed for T. Smith, R. Welb and S. Johnson	NA	NA	printed for T. Smith, R. Welb and S. Johnson	1
printed for Stephen Bowtell in Popes head Alley	NA	NA	printed for Stephen Bowtell in Popes head Alley	1
printed for J. Roberts, in Warwick-Lane. Where letters to the author and advertisements are taken in	NA	NA	printed for J. Roberts, in Warwick-Lane. Where letters to the author and advertisements are taken in	1
printed by T Pape, at W. Wilkins's in Lombard-street; where advertisements are taken in	NA	NA	printed by T Pape, at W. Wilkins's in Lombard-street; where advertisements are taken in	1
Printed and sold by T. Read, in Dogwell-Court, White-Fryars, where letters to the authors of the Weekly Oracle, post-paid, and advertisements are taken in	NA	T Read	NA	1
Printed by Revel Homfray, in High-Street	NA	NA	Printed by Revel Homfray, in High-Street	1
[F. Lister, printer, opposite the Cross-Daggers, in Sheffield]	NA	NA	F. Lister, printed, opposite the Cross-Daggers, in Sheffield	1
printed by James Palmer, and sold at his printing office in Bridge Street, where commissions, advertisements, and articles of intelligence are taken in; and where letters, essays, &c. post paid, will be received	NA	NA	printed by James Palmer, and sold at his printing office in Bridge Street, where commissions, advertisements, and articles of intelligence are taken in; and where letters, essays, &c. post paid, will be received	1
printed by James Chalmers and Co.	NA	NA	printed by James Chalmers and Co	1
printed for Cadell and Davies, Strand, by Cooper and Graham	NA	NA	printed for Cadell and Davies, Strand, by Cooper and Graham	1
Printed by John Gray	NA	NA	Printed by John Gray	1
printed by William and Thomas Henry Lord, at the Southern Star printing-office, Limerick-Street; - where all commands for this paper will be most thankfully received ...	NA	NA	printed by William and Thomas Henry Lord, at the Southern Star printing-office, Limerick-Street; - where all commands for this paper will be most thankfully received ..	1
printed by Peter Cooney, No. 19, Angelsea-Street	NA	NA	printed by Peter Cooney, No. 19, Angelsea-Street	1
printed for J[ohn]. Morphew near Stationers Hall	NA	NA	printed for John. Morphew near Stationers Hall	1
Printed and published [date] by Rawson & co. Lowgate	NA	NA	Printed and printed date by Rawson & co. Lowgate	1
J. Exshaw	NA	NA	J. Exshaw	1
printed for W. Bingley; and sold by S. Woodgate, near the Chapter coffee-house, London; and by R. Moncrief, Capel-street, Dublin; by whom letters and subscriptions are received	NA	S Woodgate	NA	1
printed by P. Gedge, bookseller, stationer, and bookbinder, in Cook-Row, Bury; and at his medicine, music and perfumery warehouse, the Prince of Wales's Arms, No. 10, Cockey-Lane, Norwich	NA	NA	printed by P. Gedge, bookseller, stationer, and bookbinder, in Cook-Row, Bury; and at his medicine, music and perfumery warehouse, the Prince of Wales's Arms, No. 10, Cockey-Lane, Norwich	1
printed by Samuel Creswell	NA	NA	printed by Samuel Creswell	1
printed by D. Holt, in Stodman-Street	NA	NA	printed by D. Holt, in Stodman-Street	1
printed for J[eremiah]. S[amuel]. Jordan, no. 166, Fleet-Street	NA	NA	printed for Jeremiah. Samuel. Jordan, no. 166, Fleet-Street	1
printed by James Phillips, George-Yard, Lombard Street, and sold by Messrs. Dodsley, Lockyear Davis, White, Beckett, Johnson, Cadell, Elmsley, Walter, Richardson and Urquhart, and Debrett	NA	Messrs Dodsley	NA	1
printed by A[ndrew]. Shirrefs	NA	NA	printed by Andrew. Shirrefs	1
printed by A[ndrew]. Shirrefs]	NA	NA	printed by Andrew. Shirrefs	1
printed by and for T. Colvill, and sold at the Printing-office, Kirk wynd	NA	NA	printed by and for T. Colvill, and sold at the Printing-office, Kirk wynd	1
printed by T. Colvill and Son, Church-Lane	NA	NA	printed by T. Colvill and Son, Church-Lane	1
T. Colvill	NA	NA	T. Colvill	1
T. Colvill]	NA	NA	T. Colvill	1
printed and published by J. Sketchley, auctioneer and appraiser, at the Register-Office, no. 23, Clare-Street. And sold by J. Salmon, in Stall-Street, T. Sketchley in Union-Passage, Bath; and J. Hodson, printer, near the Poultry-Cross, Salisbury; where advertisements are taken in at the usual prices	NA	J Sketchley	NA	1
Published by George Mudie, bookseller, Edinburgh; James Gillies, Glasgow; Angus and son, Aberdeen; George Milne, Dundee, R. Morison and son, Perth; and by all the other booksellers throughout the kingdom	NA	NA	printed by George Mudie, bookseller, Edinburgh; James Gillies, Glasgow; Angus and son, Aberdeen; George Milne, Dundee, R. Morison and son, Perth; and by all the other booksellers throughout the kingdom	1
Printed by Kneeland and Green, for Thomas Prince, junr	NA	NA	Printed by Kneeland and Green, for Thomas Prince, junr	1
printed and sold by B. Franklin	NA	NA	printed by B. Franklin	1
H.B. Meere	NA	NA	H.B. Meere	1
chez E. Cox imprimeur, no. 73 Great Queen-Street Lincoln's-Inn-Fields	NA	NA	chez E. Cox printed inmeimeur, no. 73 Great Queen-Street Lincoln's-Inn-Fields	1
printed by Andrew Steuart	NA	NA	printed by Andrew Steuart	1
printed & published by Francis Coupee	NA	Francis Coupee	NA	1
printed by James Davis, by whom all persons may be supplied wtih this magazine, at 4 d. a number	NA	NA	printed by James Davis, by whom all persons may be supplied wtih this magazine, at 4 d. a number	1
printed by John Berry, at the Dial near the cross, where all sorts of advertisements are taken in, at two shillings and sixpence each	NA	NA	printed by John Berry, at the Dial near the cross, where all sorts of advertisements are taken in, at two shillings and sixpence each	1
printed and sold by W. Wilkins at the Dolphin in Little-Britain, and A. Dodd at the Peacock without Temple-Bar	NA	NA	printed by W. Wilkins at the Dolphin in Little-Britain, and A. Dodd at the Peacock without Temple-Bar	1
Sold by S[arah]. Malthus, in London-House-Yard	NA	NA	Sold by Sarah. Malthus, in London-House-Yard	1
Printed for P.E. and published by Langley Curtis in Goat-Court on Ludgate-Hill	NA	Langley Curtis	NA	1
printed by J. Applebee, for Samuel Jackson, over-against Bridewell-Bridge, in Blackfryars, where advertisements are taken in	NA	NA	printed by J. Applebee, for Samuel Jackson, over-against Bridewell-Bridge, in Blackfryars, where advertisements are taken in	1
printed for Eliz. Mall[et], near Fleet-B[r]idge	NA	NA	printed for Eliz. Mallet, near Fleet-Bridge	1
printed by Joseph Beasley, for Robert Archibald	NA	NA	printed by Joseph Beasley, for Robert Archibald	1
printed by Young & Faust, printers to the state	NA	NA	printed by Young & Faust, printed to the state	1
printed by D. Bridge and E. Moreton, at the Bible and Crown in Pater-Noster-Row, for J. Roberts at the Oxford-Arms in Warwick-Lane. Where advertisements are taken in, and sold by A. Dodd at the Peacock without Temple-Bar, and at all other news shops	NA	A Dodd	NA	1
printed for A. Bell and J. Luntley, and sold by Richard Baldwin	NA	Richard Baldwin	NA	1
printed by E. Powell, at the Prince of Wales his Arms, in Black-fryars near Ludgate. Where advertisements are taken in	NA	NA	printed by E. Powell, at the Prince of Wales his Arms, in Black-fryars near Ludgate. Where advertisements are taken in	1
printed for Elizabeth Mallet, next the King's-Arms Tavern, near Fleet-bridge	NA	NA	printed for Elizabeth Mallet, next the King's-Arms Tavern, near Fleet-bridge	1
Printed and published by Thomas Brice, North-Street, Exeter, by whom printing in general is neatly executed. Also published every Thursday forenoon, at Messrs. Wallis and Wills's Plymouth, and at Mr. Hoxland's Fore-Street, Plymouth-Dock	NA	Thomas Brice	NA	1
printed for J. Roberts in Warwick-Lane: where advertisements and letters from correspondents are taken in	NA	NA	printed for J. Roberts in Warwick-Lane: where advertisements and letters from correspondents are taken in	1
printed for W. Wilkins, at the Dolphin in Little-Britain, and A. Dodd at the Peacock without Temple-Bar	NA	NA	printed for W. Wilkins, at the Dolphin in Little-Britain, and A. Dodd at the Peacock without Temple-Bar	1
printed for W. Wilkins, at the Dolphin in Little-Britain	NA	NA	printed for W. Wilkins, at the Dolphin in Little-Britain	1
printed by J. Gardner in the Pall-Mall near St. James's House for the author, and publish'd by J. Wells bookbinder, in London-House-yard, near St. Paul's	NA	NA	printed by J. Gardner in the Pall-Mall near St. James's House for the author, and publish'd by J. Wells bookbinder, in London-House-yard, near St. Paul's	1
printed for the author, and sold by J. Baker at the Black-Boy in Pater-Noster-Row	NA	J Baker	NA	1
printed, and sold by S. Popping in Pater-Noster-Rowe [sic]	NA	S Popping	NA	1
printed by J. Astwood	NA	NA	printed by J. Astwood	1
printed for John Smith in Russell-Street in Covent-Garden	NA	NA	printed for John Smith in Russell-Street in Covent-Garden	1
printed by Sower, Morton and Horner, at their printing office, no. 62, Water Street, second door from the corner of Beekman Slip	NA	NA	printed by Sower, Morton and Horner, at their printing office, no. 62, Water Street, second door from the corner of Beekman Slip	1
printed by William A. Davis, and sold by C. Smith, the editor, No. 51, Maiden-Lane. Also, by F. Larkin, Boston; Spencers & Webb, Albany; M. Carey, Philadelphia; Thomas, Andrews & Butler, Baltimore; John V. Thomas, Alexandria; and Prichard & Davis, Richmond	NA	C Smith	NA	1
printed by William A. Davis, for the author, No 51, Maiden Lane	NA	NA	printed by William A. Davis, for the author, No 51, Maiden Lane	1
printed, by R. Tookey, & are to be sold by B. Bragg, at the Blew-Ball in Avre-mary-lane [sic]	NA	NA	printed, by R. Tookey, & are to be sold by B. Bragg, at the Blew-Ball in Avre-mary-lane sic	1
